,timestamp,price,prediction,action,trade_amount,trade_shares,shares_held,cash,portfolio_value,in_position,actual_future_return,peak_value,drawdown,daily_return
0,2025-03-02 01:00:00,144.46,-0.003304733815400272,HOLD,0.0,0.0,0.0,10000.0,10000.0,False,-0.0031842724629655983,10000.0,0.0,
1,2025-03-02 02:00:00,142.97,0.0036562477202790786,BUY,9000.0,62.8873190179758,62.8873190179758,1000.0,9991.0,True,0.005175911030286029,10000.0,0.0009000000000000119,
2,2025-03-02 03:00:00,143.78,0.009079525207909283,HOLD,0.0,0.0,62.8873190179758,1000.0,10041.93872840456,True,-0.006885519543747498,10041.93872840456,0.0,
3,2025-03-02 04:00:00,143.64,0.01711932791355496,HOLD,0.0,0.0,62.8873190179758,1000.0,10033.134503742043,True,0.001879699248120481,10041.93872840456,0.000876745507081611,
4,2025-03-02 05:00:00,142.91,0.01789703648596486,HOLD,0.0,0.0,62.8873190179758,1000.0,9987.22676085892,True,0.0058078510950949624,10041.93872840456,0.005448347079720972,
5,2025-03-02 06:00:00,144.0,-0.0018552509071889836,SELL,9055.773938588514,62.8873190179758,0.0,10046.718164649927,10046.718164649927,False,-0.0038888888888889417,10046.718164649927,0.0,
6,2025-03-02 07:00:00,143.71,0.0011591400900221838,HOLD,0.0,0.0,0.0,10046.718164649927,10046.718164649927,False,-0.006958458005705936,10046.718164649927,0.0,
7,2025-03-02 08:00:00,142.79,0.003673934591817089,BUY,9042.046348184935,63.260762671312776,63.260762671312776,1004.6718164649919,10037.676118301742,True,-0.008824147349254075,10046.718164649927,0.0008999999999999009,
8,2025-03-02 09:00:00,143.91,0.004237676084278775,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,10108.528172493614,True,-0.022236119797095277,10108.528172493614,0.0,
9,2025-03-02 10:00:00,143.74,0.06160937740955692,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,10097.773842839491,True,0.09572839849728676,10108.528172493614,0.0010638867964365417,
10,2025-03-02 11:00:00,143.44,0.14512753078661048,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,10078.795614038096,True,0.20168711656441718,10108.528172493614,0.0029413340842660007,
11,2025-03-02 12:00:00,142.71,0.16040458265298704,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,10032.615257288038,True,0.20152757340060257,10108.528172493614,0.007509789151317059,
12,2025-03-02 13:00:00,141.53,0.1369489598913213,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,9957.967557335889,True,0.19289196636755457,10108.528172493614,0.01489441515011225,
13,2025-03-02 14:00:00,140.71,0.1712498271331836,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,9906.093731945413,True,0.2237936180797384,10108.528172493614,0.020026104403512157,
14,2025-03-02 15:00:00,157.5,0.10382378701593288,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,10968.241937196753,True,0.11511111111111116,10968.241937196753,0.0,
15,2025-03-02 16:00:00,172.37,0.01533637502830204,HOLD,0.0,0.0,63.260762671312776,1004.6718164649919,11908.929478119175,True,0.018216627023263765,11908.929478119175,0.0,
